metric,value,ci_low,ci_high
AUC-ROC,0.5611689399377842,0.503835098229383,0.6213477721704623
Accuracy,0.5613079019073569,0.5122615803814714,0.6130790190735694
F1-Score,0.2907488986784141,0.2146254355400697,0.3684379941269482
EER,0.49246231155778897,0.42993588284391837,0.533654468911917
